id;area;nomor;alamat;koordinat
1;61.71.01.1002;1;JL PANGSUMA TK GEMBALA BAIK;-0.027974, 109.344827
2;61.71.01.1002;2;JL PANGSUMA SD GEMBALA BAIK;-0.027974, 109.344827
3;61.71.01.1002;3;JL PANGSUMA SD GEMBALA BAIK DALAM;-0.027974, 109.344827
4;61.71.01.1002;4;JL TANJUNGPURA TK MEBEL BINTANG JAYA;-0.030698, 109.3452806
5;61.71.01.1002;5;JL TANJUNGPURA SAMPING GG SAMPIT;-0.0313503, 109.3454386
6;61.71.01.1002;6;JL TANJUNGPURA SAMPING GG LANDAK;-0.0327017, 109.3453315
7;61.71.01.1002;7;JL TANJUNGPURA SAMPING GG ADEN 1;-0.0330797, 109.3455445
8;61.71.01.1002;8;JL TANJUNGPURA SAMPING GG ADEN 2;-0.0330797, 109.3455445
9;61.71.01.1002;9;JL TANJUNGPURA DEPAN GG BAYU ;-0.0333686, 109.3458183
10;61.71.01.1002;10;JL TANJUNGPURA SAMPING GG TIGA;-0.034275, 109.3465
11;61.71.01.1002;11;JL TANJUNGPURA SAMPING GG TIGA KANAN;-0.0342737, 109.3459515
12;61.71.01.1002;12;Jln Tanjung Pura Samping GG Asean;-0.0349769, 109.3462202
13;61.71.01.1002;13;Jln Tanjung Pura Samping Masjid ( Mie Tiaw Khadir };-0.036153, 109.346883 
14;61.71.01.1002;14;Jln Tanjung Pura GG Kamboja Baru ( warkop Tuan Tuan );-0.0355397, 109.3468503 
15;61.71.01.1002;15;Jln Tanjung Pura Gg Kamboja Halaman Parkir Mobil;-0.0360939, 109.3482518
16;61.71.01.1002;16;Jln Tanjung Pura Gg Kamboja Gedung MINU;-0.0359981, 109.3486295
17;61.71.01.1002;17;Jln.Tanjung Pura Depan GG Marta Pura Baru;-0.0385047, 109.3479564
18;61.71.01.1002;18;Jln Tanjung Pura GG Marta Pura 2 sebrang Hotel muslim;-0.03816, 1093477813
19;61.71.01.1002;19;Jln Imam Bonjol GG H Mursyid;-0.039493, 109.3492541
20;61.71.01.1002;20;Jln Imam Bonjol GG pararel Tol kapuas Damkar Kapuas Bakti;-0.038269, 109.35037
21;61.71.01.1002;21;Jln Imam Bonjol GG H Mursyid Dalam;-0.0398062, 109.3493861
22;61.71.01.1002;22;Jln.Imam Bonjol samping Kanan GG Garuda 1;-0.0410406, 109.3495298
23;61.71.01.1002;23;Jln Imam Bonjol GG Garuda 2 kanan;-0.041083, 109.350546
24;61.71.01.1002;24;Jln Imam Bonjol GG Garuda 2 samping Kiri;-0.042449, 109.3497921 
25;61.71.01.1002;25;Jln.Imam Bonjol samping GG Garuda 2;-0409587, 109.3503681 
26;61.71.01.1002;26;Jln Imam Bonjol GG Peniti Baru;-0.0421432, 109.350187
27;61.71.01.1002;27;Jln Imam Bonjol GG Peniti I;-0.042369, 109.3503858
